ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
2090  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107044,Construction, 2021-Jul-28
2092  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107044,Construction, 2021-Jul-28
2094  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107044,Construction, 2021-Jul-28
730  ,COPE DR ,K2S2P8,Ward 6,,WS237,RICHCRAFT HOMES LIMITED,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Pinefield C 2017,1,"510,857",3055,2107045,Construction, 2021-Jul-28
235  ,BRAMBLING WAY ,K2J0E4,Ward 3,4M1471,,***CONTRACTOR***,Single,Nepean,Install an enclosure for an above ground pool (rear yard),0,0,0,2107046,Pool Enclosure, 2021-Jul-28
913  ,EMBANKMENT ST ,K2S2P6,Ward 6,,WS153,RICHCRAFT HOMES LIMITED,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: 35-22 The Edward C,1,"258,930",1742,2107047,Construction, 2021-Jul-28
245  ,FIFTH AVE ,K1S2N1,Ward 17,34756,67,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 1 storey addition and deck to a 2 storey semi-detached dwelling (rear),0,"25,278",136,2107048,Construction, 2021-Jul-28
2381  ,OGILVIE RD ,K1J7N4,Ward 11,4M-,,CONTRACTOR UNKNOWN,Institutional,Gloucester,Install 2 new portable classrooms to an institutional building (Colonel By Secondary School),0,"24,000",1615,2107049,Construction, 2021-Jul-28
94  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
96  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
98  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
100  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
102  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
104  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
2060  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
2062  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
2064  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
2066  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
2068  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
2070  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,146,983",19252,2107050,Construction, 2021-Jul-28
82  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
84  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
86  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
88  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
90  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
92  ,BALLINORA LANE ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
2072  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
2074  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
2076  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
2078  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
2080  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
2082  ,LEINSTER CIR ,,Ward 6,4M-,,MATTAMY (KANATA WEST) LIMITED,Rowhouse,West Carleton,"Construct a block of 12, 3 storey back to back rowhouses",12,"2,123,118",19038,2107051,Construction, 2021-Jul-28
52 A ,WOODFORD WAY ,K2J4B9,Ward 3,4M-795,,CONTRACTOR UNKNOWN,Semi - Detached,Nepean,Interior alterations to a 2 storey semi-detached dwelling,0,"5,000",64,2107052,Construction, 2021-Jul-28
3069  ,ANALDEA DR ,K1T3X1,Ward 22,4M-,,CONTRACTOR UNKNOWN,Single,Gloucester,Construct 1 storey attached garage to an existing one storey dwelling,0,"160,592",864,2107053,Construction, 2021-Jul-28
2781  ,COLONIAL RD ,K0A3E0,Ward 19,,PT N 1/2 LT 11,CONTRACTOR UNKNOWN,Other,Cumberland,Tenant fit-up on the ground floor and mezzanine in a 1 storey commercial building (Building A - Little Ray's Nature Centres),0,"200,000",0,2107054,Construction, 2021-Jul-28
20  ,OAKLEY AVE ,K2B6M6,Ward 7,315,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Construct a deck and add a window in a 3 storey rowhouse,0,"9,500",200,2107055,Construction, 2021-Jul-28
247  ,FIFTH AVE ,K1S2N1,Ward 17,34756,PT LOT 67,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 1 storey addition to a 2 storey semi-detached dwelling (not a secondary dwelling unit),0,"44,572",346,2107056,Construction, 2021-Jul-28
105  ,LANIGAN CRES ,K2S0S1,Ward 6,4M-,,CONTRACTOR UNKNOWN,Single,Goulbourn,Construct 2 additions (front and rear yards) and interior alterations to a 1 storey detached dwelling,0,"228,855",1970,2107057,Construction, 2021-Jul-28
37  ,PINEGLEN CRES ,K2E6Y2,Ward 9,,,***CONTRACTOR***,Single,Nepean,Install a pool enclosure for an above ground pool (rear yard),0,0,0,2107058,Pool Enclosure, 2021-Jul-28
37  ,PINEGLEN CRES ,K2E6Y2,Ward 9,4M-,,CONTRACTOR UNKNOWN,Single,Nepean,Construct a deck around above ground pool (rear yard),0,"8,000",144,2107059,Construction, 2021-Jul-28
1600  ,CARLING AVE ,K1Z8R7,Ward 15,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,TO BE CANCELLED -Tenant fit-up on the 3rd floor of a 8 storey office building,0,"76,000",2861,2107060,Construction, 2021-Jul-28
1600  ,CARLING AVE ,K1Z8R7,Ward 15,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit-up on the ground floor of a 8 storey office building,0,"285,000",6434,2107061,Construction, 2021-Jul-28
6202  ,NICK ADAMS RD ,K4P1H2,Ward 20,,,CONTRACTOR UNKNOWN,Demolition,Osgoode,Demolish a 2 storey detached dwelling,-1,"12,000",-1500,2107062,Demolition, 2021-Jul-28
107  ,GRANTON AVE ,K2G1X4,Ward 8,375,2503,MIROCA DESIGN INC.,Demolition,Nepean,Demolish a 1 storey detached dwelling,-1,"8,500",-1100,2107064,Demolition, 2021-Jul-28
340  ,LAURIER AVE W,K1A0P9,Ward 14,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 3rd floor of a 13 storey office building,0,"145,000",1851,2107065,Construction, 2021-Jul-29
15  ,SUNVALE WAY ,K2G6Y2,Ward 22,4M-,,***CONTRACTOR***,Single,Nepean,Construct a deck (rear yard),0,"21,000",297,2107066,Construction, 2021-Jul-29
2010  ,ACOUSTIC WAY ,K4M0L7,Ward 22,4M-1672,48,CLARIDGE HOMES (RIVERS EDGE SOUTH) INC,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Lockport II 2018 D,1,"576,240",3446,2107067,Construction, 2021-Jul-29
66  ,MICHAEL STOQUA ST ,K1K5A2,Ward 13,4M-1651,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,Construct 2 storey block of 4 rowhouse dwellings,4,"879,204",7990,2107069,Construction, 2021-Jul-29
68  ,MICHAEL STOQUA ST ,K1K5A2,Ward 13,4M-1651,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,Construct 2 storey block of 4 rowhouse dwellings,4,"879,204",7990,2107069,Construction, 2021-Jul-29
70  ,MICHAEL STOQUA ST ,K1K5A2,Ward 13,4M-1651,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,Construct 2 storey block of 4 rowhouse dwellings,4,"879,204",7990,2107069,Construction, 2021-Jul-29
72  ,MICHAEL STOQUA ST ,K1K5A2,Ward 13,4M-1651,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,Construct 2 storey block of 4 rowhouse dwellings,4,"879,204",7990,2107069,Construction, 2021-Jul-29
763  ,OWLS CABIN AVE ,K1V1Z8,Ward 22,4M-,,"CONTRACTOR, ERIC",Single,Gloucester,Finish basement in 2 storey detached dwelling,0,"55,020",1184,2107070,Construction, 2021-Jul-29
745  ,MIIKANA RD ,K1X0H6,Ward 22,4m-1671,,TARTAN HOMES CORPORATION,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Cortland Modern 6215 2020 A,Fuji 2020 Modern 6205 mid 2,Gala 2020 Modern 6225 end,Gala 2020 Modern 6225 end",4,"956,850",7357,2107071,Construction, 2021-Jul-29
747  ,MIIKANA RD ,K1X0H6,Ward 22,4m-1671,,TARTAN HOMES CORPORATION,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Cortland Modern 6215 2020 A,Fuji 2020 Modern 6205 mid 2,Gala 2020 Modern 6225 end,Gala 2020 Modern 6225 end",4,"956,850",7357,2107071,Construction, 2021-Jul-29
749  ,MIIKANA RD ,K1X0H6,Ward 22,4m-1671,,TARTAN HOMES CORPORATION,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Cortland Modern 6215 2020 A,Fuji 2020 Modern 6205 mid 2,Gala 2020 Modern 6225 end,Gala 2020 Modern 6225 end",4,"956,850",7357,2107071,Construction, 2021-Jul-29
751  ,MIIKANA RD ,K1X0H6,Ward 22,4m-1671,,TARTAN HOMES CORPORATION,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Cortland Modern 6215 2020 A,Fuji 2020 Modern 6205 mid 2,Gala 2020 Modern 6225 end,Gala 2020 Modern 6225 end",4,"956,850",7357,2107071,Construction, 2021-Jul-29
300  ,HUNT CLUB RD ,K1V1C1,Ward 10,4M-,,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,PLUMBING ONLY - Install a Premise Isolation Backflow Prevention Device on the domestic water supply,0,0,0,2107072,Construction, 2021-Jul-29
2808  ,DUNROBIN RD ,K0A1T0,Ward 5,4M-,,CONTRACTOR UNKNOWN,Retail,West Carleton,Tenant fit up to a 1 storey retail building (Milanos Pizzeria),0,"35,000",1076,2107073,Construction, 2021-Jul-29
1  ,COWICHAN WAY ,K2H7E6,Ward 8,"567909
",1,CONTRACTOR UNKNOWN,Single,Nepean,Install a metered solar PV system on a 2 storey detached,0,"55,413",645,2107074,Construction, 2021-Jul-29
62  ,MICHAEL STOQUA ST ,K1K5A2,Ward 13,4M-1651,,UNIFORM URBAN DEVELOPMENTS LTD.,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,"917,368",6314,2107075,Construction, 2021-Jul-29
64  ,MICHAEL STOQUA ST ,K1K5A2,Ward 13,4M-1651,,UNIFORM URBAN DEVELOPMENTS LTD.,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,"917,368",6314,2107075,Construction, 2021-Jul-29
35  ,HARLOWE CRES ,K2H5N9,Ward 7,442518,365,***CONTRACTOR***,Single,Nepean,"Finish the basement (mechanical room, storage, office room, 3-piece bathroom, recreational room) and Interior alterations to a 1 storey detached dwelling (remove non-load bearing walls)",0,"25,000",2000,2107076,Construction, 2021-Jul-29
822  ,RIVER RD ,K4M1B2,Ward 22,4M-,,CONTRACTOR UNKNOWN,Single,Gloucester,PLUMBING ONLY : Conversion from well to City water.,0,0,0,2107077,Construction, 2021-Jul-29
1  ,LEONA AVE ,K2E5H7,Ward 9,,,CONTRACTOR UNKNOWN,Demolition,Nepean,Demolish a 2 storey detached dwelling,-1,"5,800",-1100,2107078,Demolition, 2021-Jul-29
422  ,VENDEVALE AVE ,K2S0M6,Ward 6,4M-1348,145,PENGUIN BASEMENTS,Single,Goulbourn,"Finish the basement in a 2 storey detached dwelling (mechanical room, 3-piece bathroom, recreational room)",0,"32,233",694,2107079,Construction, 2021-Jul-29
2691  ,VIOLET ST ,K2B6X1,Ward 7,227,8,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling.,2,"680,288",4710,2107080,Construction, 2021-Jul-29
2693  ,VIOLET ST ,K2B6X1,Ward 7,227,8,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling.,2,"680,288",4710,2107080,Construction, 2021-Jul-29
217  ,QUARTER HORSE ST ,K2S0X9,Ward 21,4M-,,***CONTRACTOR***,Single,Goulbourn,"Finish the basement in a 1 storey detached dwelling (media room, recreational room, 3-piece bathroom, storage, mechanical room)",0,"38,530",829,2107081,Construction, 2021-Jul-29
148  ,SPARKS ST ,K1P5B6,Ward 14,6506,4/5,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to sub-divide an existing ground floor restaurant (A-2) to create a new cannabis retail store (E) in existing space in a 3 storey commercial building.,0,"40,000",2022,2107082,Construction, 2021-Jul-29
5970  ,THIRD LINE RD N,K0A2T0,Ward 21,4M-,9,OAKWOOD DESIGNERS & BUILDERS,Single,Rideau,Interior alterations in a 2 storey detached dwelling,0,"23,098",0,2107083,Construction, 2021-Jul-29
1131  ,TERON RD ,K2K1R3,Ward 4,,5,CONTRACTOR UNKNOWN,Demolition,Kanata,Demolish a 1 storey detached dwelling,-1,"5,000",-1593,2107084,Demolition, 2021-Jul-29
187  ,CARLETON AVE ,K1Y0J5,Ward 15,219,16,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,"14,000",-2500,2107085,Demolition, 2021-Jul-29
185 B ,CARLETON AVE ,K1Y0J5,Ward 15,219,S PT LOT 16,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey semi-detached dwelling with secondary dwelling units in the basement,4,"1,081,697",6600,2107086,Construction, 2021-Jul-29
185  ,CARLETON AVE ,K1Y0J5,Ward 15,219,S PT LOT 16,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey semi-detached dwelling with secondary dwelling units in the basement,4,"1,081,697",6600,2107086,Construction, 2021-Jul-29
187 B ,CARLETON AVE ,K1Y0J5,Ward 15,219,S PT LOT 16,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey semi-detached dwelling with secondary dwelling units in the basement,4,"1,081,697",6600,2107086,Construction, 2021-Jul-29
187  ,CARLETON AVE ,K1Y0J5,Ward 15,219,S PT LOT 16,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey semi-detached dwelling with secondary dwelling units in the basement,4,"1,081,697",6600,2107086,Construction, 2021-Jul-29
74  ,DAGMAR AVE ,K1L5T4,Ward 12,M78,70,CONTRACTOR UNKNOWN,Single,Vanier,Remove and replace front porch floor and retain existing roof of a 1 storey detached dwelling,0,"10,000",168,2107087,Construction, 2021-Jul-29
178  ,MCCLELLAN RD ,K2H5W1,Ward 9,543938,,CONTRACTOR UNKNOWN,Semi - Detached,Nepean,Construct a secondary dwelling unit in the basement of a 2 storey semi-detached dwelling,1,"30,000",817,2107089,Construction, 2021-Jul-29
1591  ,"LYCEE, PLACE DU  ",K1G4A7,Ward 17,4M-,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,"Interior alterations to 15 storey residential apartment building (adding new tenant suite, weight room, meeting room, etc)",1,"350,000",2476,2107090,Construction, 2021-Jul-29
2691  ,VIOLET ST ,K2B6X1,Ward 7,227,8,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,"45,000",-1292,2107091,Demolition, 2021-Jul-29
5539  ,MANOTICK MAIN ST ,K4M,Ward 21,15,6,CONTRACTOR UNKNOWN,Retail,Rideau,Construct a patio at the front of a 1 storey restaurant (The Vault Bistro),0,"10,000",400,2107093,Construction, 2021-Jul-29
8728  ,MARVELVILLE RD ,K0A2P0,Ward 20,4M-,36,NYENTAP CONSTRUCTION,Farm,Osgoode,Construct a storage shed (Farm),0,"250,000",9000,2107094,Construction, 2021-Jul-29
2014  ,QUINCY AVE ,K1J6B3,Ward 11,4M-,,CONTRACTOR UNKNOWN,Single,Gloucester,Construct an unheated 3 season sunroom (rear yard),0,"28,000",172,2107096,Construction, 2021-Jul-29
259  ,GARNEAU ST ,K1L7T7,Ward 12,92,3,PAGI CONSTRUCTION,Demolition,Vanier,Demolish a 1 storey detached dwelling,-1,"10,000",-1000,2107097,Demolition, 2021-Jul-29
259 A ,GARNEAU ST ,K1L7T7,Ward 12,92,3,CONTRACTOR UNKNOWN,Semi - Detached,Vanier,Construct a 3 storey semi-detached dwelling,2,"807,049",4642,2107098,Construction, 2021-Jul-29
259 B ,GARNEAU ST ,K1L7T7,Ward 12,92,3,CONTRACTOR UNKNOWN,Semi - Detached,Vanier,Construct a 3 storey semi-detached dwelling,2,"807,049",4642,2107098,Construction, 2021-Jul-29
1505  ,FISHER AVE ,K2C3M8,Ward 16,4M-,,RYDEL ROOFING INC,Rowhouse,Old Ottawa,Interior alterations in a 2 storey rowhouse (remove load-bearing wall & bathroom alterations),0,"8,000",0,2107099,Construction, 2021-Jul-29
5923  ,GLADEWOODS PL ,K1W1G5,Ward 2,4M858,23,MASTER POOL BUILDERS,Single,Gloucester,Install an enclosure for an inground pool(rear yard),0,0,0,2107100,Pool Enclosure, 2021-Jul-29
830  ,MAPLEWOOD AVE ,K2B5V5,Ward 7,,,TAVENTI INC.,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,"15,000",-800,2107101,Demolition, 2021-Jul-29
2210  ,BANK ST ,K1V1J5,Ward 10,4M-944,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Interior alterations to a retail space (Unit 10, Loblaws)",0,"120,000",1292,2107102,Construction, 2021-Jul-29
941  ,CLYDE AVE N,K1Z5A6,Ward 16,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,PLUMBING ONLY - To install a Premise Isolation Backflow Prevention Device on the domestic water supply and fire protection system (J A Dulude Arena),0,0,0,2107103,Construction, 2021-Jul-29
2320  ,SOUTHVALE CRES ,K1B5B7,Ward 18,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,PLUMBING ONLY - To install a Premise Isolation Backflow Prevention Device on the domestic water supply (Sheffield Glen Park Comfort Station),0,0,0,2107104,Construction, 2021-Jul-29
1 B ,WINDSOR AVE ,K1S0W3,Ward 17,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,PLUMBING ONLY - To install a Premise Isolation Backflow Prevention Device on the domestic water supply (Windsor Park Fieldhouse),0,0,0,2107105,Construction, 2021-Jul-29
275  ,GINEBIK WAY ,K1X0H5,Ward 22,,PS401,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Pinefield A 2017,1,"511,693",3060,2107107,Construction, 2021-Jul-30
271  ,GINEBIK WAY ,K1X0H5,Ward 22,,PS399,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Norwood 2015 C,1,"419,610",2823,2107108,Construction, 2021-Jul-30
1498  ,ORCHARD AVE ,K1H7C7,Ward 18,296,20,LAETUM INVESTMENTS LTD.,Single,Old Ottawa,Construct a 2 storey detached dwelling with a finished basement,1,"474,482",3293,2107109,Construction, 2021-Jul-30
6255  ,HAZELDEAN RD ,K2S0X4,Ward 6,,,CONTRACTOR UNKNOWN,Demolition,Goulbourn,Demolish 1 storey storage building (storage workshop),0,"10,000",-2842,2107110,Demolition, 2021-Jul-30
5848  ,RED CASTLE RIDGE ,K4M0A7,Ward 20,4M-1406,23,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a 2 storey detached dwelling,1,"723,406",3892,2107111,Construction, 2021-Jul-30
115  ,"BONNE-RENOMMEE, DE LA  ",K4A5J9,Ward 19,4M-1664,29E,TAMARACK DEVELOPMENTS CORPORATION,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: 3522 2020 rec room,1,"324,741",2215,2107112,Construction, 2021-Jul-30
1755  ,MERIVALE RD ,K2G1E2,Ward 9,4M-,30 & 31,OTTAWA CARLETON DISTRICT SCHOOL BOARD,Institutional,Nepean,Install 2 new portable classroom to a school for a total of 6 (side yard - Merivale High School),0,"191,200",1615,2107113,Construction, 2021-Jul-30
113  ,"BONNE-RENOMMEE, DE LA  ",K4A5J9,Ward 19,4M-1664,30E,TAMARACK DEVELOPMENTS CORPORATION,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: M3525 2020,1,"353,837",2116,2107114,Construction, 2021-Jul-30
104  ,"BONNE-RENOMMEE, DE LA  ",K4A5J9,Ward 19,4M-1664,44E,TAMARACK DEVELOPMENTS CORPORATION,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: M3528 2020,1,"398,150",3028,2107115,Construction, 2021-Jul-30
6255  ,HAZELDEAN RD ,K2S0X4,Ward 6,,,CONTRACTOR UNKNOWN,Demolition,Goulbourn,Demolish 1 storey storage building (small portable),0,"5,000",-764,2107116,Demolition, 2021-Jul-30
195  ,CHARLIE'S LANE ,K0A1L0,Ward 5,4M1444,7,SHELLSTAR HOLDINGS LTD.,Single,West Carleton,Construct a 2 storey detached dwelling,1,"512,444",2757,2107117,Construction, 2021-Jul-30
625  ,MOONFLOWER CRES ,,Ward 22,4M-1676,44V,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 Storey Single without attached garage  Model: 3530 (2020),1,"353,837",2116,2107118,Construction, 2021-Jul-30
613  ,MOONFLOWER CRES ,,Ward 22,4M-1676,47V,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 3820 2020 A,1,"412,698",2468,2107119,Construction, 2021-Jul-30
621  ,MOONFLOWER CRES ,,Ward 22,4M-1676,45V,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: M3530 (2020),1,"449,821",2690,2107120,Construction, 2021-Jul-30
350  ,EAGLEHEAD CRES ,K2S2J2,Ward 6,4M-,,CONTRACTOR UNKNOWN,Single,Goulbourn,Construct a deck (rear yard),0,"16,000",141,2107121,Construction, 2021-Jul-30
629  ,MOONFLOWER CRES ,,Ward 22,4M-1676,43V,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 3811 2020 C,1,"452,998",2709,2107122,Construction, 2021-Jul-30
134  ,BURNETT'S GROVE CIR ,K2J1S9,Ward 3,4M-,,VERDUN WINDOWS AND DOORS,Single,Nepean,Alteratrions to add 2 new windows to a 2 storey detached dwelling (side yard),0,"4,000",20,2107124,Construction, 2021-Jul-30
114  ,WOODGATE WAY ,K2J4E5,Ward 3,4M-,,RAZZMAL GROUP LTD.,Single,Nepean,Construct a patio door opening,1,"8,500",517,2107125,Construction, 2021-Jul-30
216  ,MARJAN CRES ,K2J0N2,Ward 22,4M-,,KAT DESIGNS & CONSTRUCTION INC.,Single,Nepean,Finish the basement in a 1 storey detached dwelling,0,"47,399",1020,2107126,Construction, 2021-Jul-30
1211  ,WOODROFFE AVE ,K2C2T2,Ward 8,4M-,,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Finish the basement in a 2 storey semi-detached dwelling,0,"1,950",42,2107127,Construction, 2021-Jul-30
7860  ,IVESON DR ,K0A2P0,Ward 20,4M-923,15,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a 1 storey detached dwelling,1,"885,908",6381,2107129,Construction, 2021-Jul-30
33  ,MAPLE GROVE RD ,K2L2S7,Ward 23,4M-,30,R. K. PORTER GENERAL CONTRACTING,Apartment,Kanata,Construct a 3 storey apartment building and underground parking garage (Building A),6,"1,617,260",10129,2107130,Construction, 2021-Jul-30
